17:06,0,-32000.0,-32000.0,-32000.0,-32000.0,70.5,70.0
17:11,1,-32000.0,-32000.0,-32000.0,-32000.0,70.5,70.0
17:16,2,-32000.0,-32000.0,-32000.0,-32000.0,70.5,70.0
17:21,3,-32000.0,-32000.0,-32000.0,-32000.0,70.5,70.0
17:26,4,-34768.16,-29492.518,-33373.68,-28261.373,66.73662,66.849045
17:31,5,-34825.535,-29532.07,-33367.33,-28344.625,66.950836,66.80807
17:36,6,-34770.992,-29522.145,-33338.367,-28332.258,66.715485,66.73824
17:41,7,-34784.33,-29505.9,-33364.723,-28297.797,66.66686,66.69234
17:46,8,-34768.434,-29531.264,-33428.723,-28251.686,66.05464,66.37822
17:51,9,-34764.344,-29530.23,-33367.543,-28274.719,66.72019,66.47738
17:56,10,-29791.203,-41814.91,-28347.982,-29672.674,67.73249,66.610466
18:01,11,-29777.002,-41762.7,-28315.012,-29664.066,70.91903,70.80993
18:06,12,-29721.113,-41793.676,-28335.3,-29566.342,70.62885,70.73855
18:11,13,-29793.354,-41799.074,-28283.992,-29641.486,69.96122,66.44871
18:16,14,-29683.234,-41817.676,-28257.791,-29655.385,69.89203,66.47081
18:21,15,-29732.592,-41756.164,-28361.895,-29641.012,70.282646,66.4949
18:26,16,-29867.166,-41858.61,-28221.096,-29566.344,69.91878,66.51232
18:31,17,-29770.729,-41829.008,-28279.84,-29657.639,70.06452,66.5181
18:36,18,-29819.258,-41814.383,-28270.691,-29597.518,69.51999,66.68071
18:41,19,-29788.72,-41834.836,-28321.602,-29663.922,70.31327,66.59893
18:46,20,-29749.344,-41748.434,-28291.316,-29622.02,70.41339,66.80313
18:51,21,-29810.305,-41846.883,-28299.871,-29611.742,70.1024,71.36155
18:56,22,-30368.13,-37162.08,-28564.04,-40877.387,71.95694,71.51455
19:01,23,-30322.117,-37146.02,-28506.281,-40954.13,69.2915,71.65257
19:06,24,-30348.521,-37181.85,-28478.264,-40931.633,68.619774,71.56064
19:11,25,-30375.256,-37166.45,-28458.89,-40933.902,67.27073,71.45965
19:16,26,-30381.834,-37158.188,-28471.959,-40901.91,67.61087,71.532555
19:21,27,-30301.803,-37185.31,-28450.986,-40925.703,67.26797,71.5977
19:27,28,-30378.803,-37199.63,-28489.09,-40965.727,69.607254,71.68564
19:32,29,-30358.469,-37155.26,-28452.43,-40898.637,69.45827,71.66937
19:37,30,-30363.38,-37235.03,-28438.383,-41023.363,68.81418,71.746605
19:42,31,-30393.012,-37193.492,-28436.322,-40876.105,72.95265,71.707634
19:47,32,-30384.184,-37093.49,-28486.271,-40918.168,73.52257,71.66098
19:52,33,-30367.379,-37230.457,-28501.615,-40920.27,73.566666,71.70054
19:57,34,-38214.258,-35827.176,-38815.04,-36617.562,68.566666,71.70704
20:02,35,-38295.754,-35762.402,-38855.344,-36668.24,67.49781,71.68878
20:07,36,-38128.133,-35911.625,-38792.18,-36645.85,67.539566,71.492325
20:12,37,-38233.87,-35905.04,-38792.055,-36721.027,66.94015,71.62722
20:17,38,-38225.05,-35855.254,-38826.54,-36632.332,67.74446,71.72027
20:22,39,-38235.742,-35909.81,-38799.7,-36674.297,67.81777,71.855095
20:27,40,-38296.23,-35891.824,-38839.23,-36676.07,69.30176,71.81283
20:32,41,-38275.676,-35997.297,-38802.375,-36759.688,70.724266,71.86241
20:37,42,-38181.426,-35785.5,-38890.97,-36685.273,71.44583,71.845695
20:42,43,-38193.445,-35817.08,-38780.457,-36668.324,69.32443,71.8468
20:47,44,-38283.203,-35934.86,-38824.133,-36687.426,67.21626,67.29642
20:52,45,-38240.062,-35896.008,-38759.418,-36674.996,70.532036,67.2439
20:57,46,-31040.408,-33300.504,-26914.275,-35584.734,68.504166,67.18015
21:02,47,-31078.623,-33315.41,-26867.303,-35478.07,71.20099,71.65366
21:07,48,-31056.475,-33301.254,-26937.719,-35507.92,71.28798,71.79375
21:12,49,-31037.162,-33298.355,-26933.666,-35523.31,71.914955,71.81592
21:17,50,-31077.295,-33268.023,-26950.34,-35509.457,67.36922,67.325066
21:22,51,-31024.855,-33302.73,-26979.209,-35510.98,68.34434,67.29292
21:27,52,-31081.959,-33257.836,-26948.81,-35523.39,69.441986,67.24957
21:32,53,-31116.19,-33305.348,-26918.51,-35540.492,68.81975,67.23142
21:37,54,-31119.13,-33300.79,-26881.412,-35541.664,69.091095,67.49138
21:42,55,-31070.268,-33263.258,-26890.809,-35519.45,69.79838,67.55083
21:48,56,-31097.38,-33323.227,-26969.477,-35524.836,70.13383,67.436386
21:53,57,-31099.688,-33374.395,-26955.26,-35474.887,69.66259,67.529526
21:58,58,-31097.38,-33323.227,-26969.477,-35524.836,69.8889,67.44
22:03,59,-31099.688,-33374.395,-26955.26,-35474.887,69.71594,67.55722
