17:06,0,0.0017178058624267578
17:11,1,0.0013854503631591797
17:16,2,0.0016884803771972656
17:21,3,0.0012125968933105469
17:26,4,3.9728965759277344
17:31,5,4.174652576446533
17:36,6,6.226107835769653
17:41,7,7.835495471954346
17:46,8,10.050169944763184
17:51,9,12.084124565124512
17:56,10,13.23615288734436
18:01,11,15.857012748718262
18:06,12,17.332691431045532
18:11,13,19.397588968276978
18:16,14,20.37630867958069
18:21,15,22.415031671524048
18:26,16,25.51592469215393
18:31,17,26.402215480804443
18:36,18,27.95567035675049
18:41,19,30.715858221054077
18:46,20,31.711747646331787
18:51,21,33.977477073669434
18:56,22,35.22174787521362
19:01,23,37.018460512161255
19:06,24,37.88884711265564
19:11,25,42.348275899887085
19:16,26,43.61381959915161
19:21,27,44.55378580093384
19:27,28,47.24532699584961
19:32,29,49.89280605316162
19:37,30,50.933104515075684
19:42,31,53.08843445777893
19:47,32,56.93588352203369
19:52,33,57.15594983100891
19:57,34,59.53452968597412
20:02,35,60.11219120025635
20:07,36,66.35290241241455
20:12,37,65.9125554561615
20:17,38,68.06436347961426
20:22,39,68.11212468147278
20:27,40,72.17138195037842
20:32,41,73.41736435890198
20:37,42,74.89351010322571
20:42,43,78.42912292480469
20:47,44,78.8037679195404
20:52,45,82.68598127365112
20:57,46,83.40376353263855
21:02,47,86.84847974777222
21:07,48,87.39210391044617
21:12,49,90.92409253120422
21:17,50,92.93624591827393
21:22,51,95.39290189743042
21:27,52,97.86431336402893
21:32,53,100.31221342086792
21:37,54,103.43620824813843
21:42,55,104.18273830413818
21:48,56,108.7740318775177
21:53,57,108.91669964790344
21:58,58,114.10667371749878
22:03,59,117.62555861473083
