18:14,0,1.0
18:19,1,1.0
18:24,2,1.0
18:29,3,1.0
18:34,4,1.0
18:39,5,1.0
18:44,6,1.0
18:49,7,1.0
18:54,8,1.0
18:59,9,1.0
19:04,10,1.0
19:09,11,1.0
19:14,12,1.0
19:19,13,1.0
19:24,14,1.0
19:29,15,1.0
19:34,16,1.0
19:39,17,1.0
19:44,18,1.0
19:50,19,1.0
19:55,20,1.0
20:00,21,1.0
20:05,22,1.0
20:10,23,1.0
20:15,24,1.0
20:20,25,1.0
20:25,26,1.0
20:30,27,1.0
20:35,28,1.0
20:40,29,1.0
20:45,30,1.0
20:50,31,1.0
20:55,32,1.0
21:00,33,1.0
21:05,34,1.0
21:10,35,1.0
21:15,36,1.0
21:20,37,1.0
21:25,38,1.0
21:30,39,1.0
21:35,40,1.0
21:40,41,1.0
21:45,42,1.0
21:50,43,1.0
21:55,44,1.0
22:00,45,1.0
22:05,46,1.0
22:11,47,1.0
22:16,48,1.0
22:21,49,1.0
22:26,50,1.0
22:31,51,1.0
22:36,52,1.0
22:41,53,1.0
22:46,54,1.0
22:51,55,1.0
22:56,56,1.0
23:01,57,1.0
23:06,58,1.0
23:11,59,1.0
