Ts_L4,T_return,mf_return,P_l1,P_l2,P_l3,P_l4,u_tb
79.99,64.99,2.26190703717215,-34576.0789961249,-33060.9479618137,-32360.2405314816,-33257.7579101869,74.7693860953908
74.2314042027999,64.8135901924242,3.44959174749689,-34517.2876563445,-33123.6800939562,-32284.0191480699,-33264.8917889236,74.7390476512258
74.4376366733691,64.8098177957813,3.36632198589312,-34428.7288876587,-33047.2390647468,-32379.5896940423,-33310.8372838498,74.7162069063482
74.4608376920936,64.8092526804159,3.36041718295217,-34471.2844336973,-33057.381656581,-32357.5694352768,-33306.0515160472,74.7594378414704
74.5106318706875,64.808289667982,3.34371462354772,-34508.9884777629,-33082.6320117261,-32330.1846703162,-33299.8177768276,74.7139453620244
74.466729745606,64.8091875960769,3.35684475982312,-34470.7861500432,-33058.6879743682,-32340.6515075945,-33248.2602889151,74.731330117645
74.4837647622246,64.8087123606681,3.34947405160678,-34482.7154962204,-33076.9888918232,-32285.0668335196,-33229.8868443261,74.7025712039221
74.4563812479224,64.8091925636705,3.36119946908763,-34494.1694259224,-33046.180068013,-32317.3949254536,-33287.5365307354,74.6957019335139
74.4495699670702,64.8094322353628,3.36607601022059,-34546.1148878737,-33050.86210912,-32351.5574939811,-33296.9834304809,74.7427973879556
74.4958325053937,64.8086638509564,3.34734730025567,-34508.9210771125,-33107.936865471,-32271.6460229182,-33266.8231807086,74.7663367570834
74.5190190851326,64.8080719027716,3.33797023664421,-34468.715422594,-33068.809443848,-32328.9635474717,-33237.4221405541,74.7551226826356
74.5075265219406,64.8082089191755,3.34343981431012,-34438.2230221911,-33116.594204319,-32347.6984772256,-33258.1852494869,74.7220467407395
74.4746631108742,64.8089389334256,3.35447017573716,-34486.5599675996,-33026.1833139619,-32385.4734899531,-33239.8626295488,74.7011930288499
74.4542984327509,64.8093160366556,3.35864401289163,-34420.2810136278,-33094.4475902313,-32210.8457857696,-33292.4850352097,74.7239097014753
74.4766739803279,64.8087167394144,3.3502047121041,-34407.3352151091,-33070.1566461555,-32179.5239218491,-33348.3712489451,74.7195186575835
74.4727366225207,64.8087694631209,3.35074585121082,-34398.677990761,-33018.9589363349,-32233.3272770186,-33311.1447376902,74.7035163590978
74.4572077999074,64.8090167338835,3.36141091344856,-34430.2505119542,-33070.7827197451,-32270.2267561821,-33395.9829410524,74.7064682782664
74.4597987327859,64.8092667134731,3.35442876971841,-34374.1720077856,-33057.1296741422,-32200.833818421,-33291.9928042252,74.7189529150023
74.4725809614548,64.8086688491279,3.35199781184565,-34379.0105976249,-33040.078241384,-32215.499113843,-33377.4396816148,74.7486817714581
74.5009305895693,64.8082241047853,3.33860744136107,-34334.3506102382,-33009.8651456161,-32203.1212467135,-33331.4812576698,74.7768517539892
74.5285233568441,64.8074746442117,3.33122019146917,-34338.3987935962,-33099.1948234807,-32215.8266685137,-33318.5628351451,74.6787096797347
74.4322088722078,64.8095213828507,3.36510915262723,-34372.8655912617,-33076.7277551349,-32169.9628266085,-33331.4860995695,74.6919525140424
