00:12,0,69.12946,60.97808,3.1073768
00:17,1,69.16965,61.134403,3.0766745
00:22,2,69.21328,61.231255,3.1208103
00:27,3,69.26606,61.10819,3.070819
00:32,4,69.26564,61.17515,3.0884464
00:37,5,69.45835,61.08609,3.0158284
00:42,6,69.445366,61.248165,3.027652
00:47,7,69.32064,61.25046,2.995961
00:52,8,67.41889,60.87615,3.4458716
00:57,9,66.68481,61.330368,4.068581
01:02,10,66.88227,62.48877,4.2159553
01:07,11,66.729355,59.867996,3.6992252
01:12,12,65.54778,60.5985,4.1011558
01:17,13,66.24806,62.184013,4.192085
01:22,14,67.65838,61.06633,3.836496
01:27,15,67.462364,60.80099,3.472089
01:32,16,67.237656,61.372566,3.8542147
01:37,17,67.371445,61.417393,3.8457248
01:42,18,67.42649,61.245087,3.7511601
01:47,19,67.283905,61.2406,3.8176408
01:52,20,66.62112,61.13518,3.969978
01:57,21,66.62223,61.200294,4.0232534
02:02,22,66.63333,61.18053,3.9982603
02:07,23,66.63786,61.221134,4.012397
02:12,24,66.76958,61.250687,3.9779217
02:17,25,66.878044,61.251575,4.064232
02:22,26,67.23969,61.251835,4.021915
02:27,27,67.1197,61.136406,4.022839
02:32,28,67.12642,61.316315,4.051689
02:37,29,67.171745,61.170258,4.0210886
02:42,30,66.994514,61.180862,4.051009
02:47,31,67.028046,61.23174,4.0544662
02:52,32,67.04007,61.09855,4.0354214
02:57,33,67.08117,61.28387,4.0514464
03:02,34,67.061844,61.177933,4.0369706
03:07,35,66.99052,61.275753,4.061605
03:12,36,66.852585,61.30208,4.068983
03:17,37,66.84244,61.358585,4.2217555
03:22,38,66.67278,61.20908,4.213687
03:27,39,66.77326,61.1921,4.205531
03:32,40,66.75359,61.24475,4.2108583
03:37,41,66.72018,61.276382,4.210671
03:42,42,66.830956,61.15346,4.2057486
03:47,43,66.80345,61.22888,4.212491
03:52,44,66.88331,61.300705,4.208888
03:57,45,65.58243,60.74945,4.23324
04:02,46,66.452835,61.60142,4.233449
04:07,47,66.99647,61.234074,4.2002373
04:12,48,66.63537,61.25992,4.2116685
04:17,49,66.44431,61.200703,4.051921
04:22,50,65.79903,61.230736,4.1330843
04:27,51,65.87566,61.31639,4.177613
04:32,52,65.85654,61.275898,4.16404
04:37,53,66.28087,61.389103,4.146268
04:42,54,66.44523,61.315353,4.0916557
04:47,55,66.32665,61.362293,4.102143
04:52,56,65.8966,61.207485,4.126984
04:57,57,65.744255,61.31476,4.186049
05:02,58,65.75581,61.4508,4.192961
05:07,59,66.36852,61.54417,4.139063
