00:12,0,1.0
00:17,1,1.0
00:22,2,1.0
00:27,3,1.0
00:32,4,1.0
00:37,5,1.0
00:42,6,1.0
00:47,7,1.0
00:52,8,1.0
00:57,9,1.0
01:02,10,1.0
01:07,11,1.0
01:12,12,1.0
01:17,13,1.0
01:22,14,1.0
01:27,15,1.0
01:32,16,1.0
01:37,17,1.0
01:42,18,1.0
01:47,19,1.0
01:52,20,1.0
01:57,21,1.0
02:02,22,1.0
02:07,23,1.0
02:12,24,1.0
02:17,25,1.0
02:22,26,1.0
02:27,27,1.0
02:32,28,1.0
02:37,29,1.0
02:42,30,1.0
02:47,31,1.0
02:52,32,1.0
02:57,33,1.0
03:02,34,1.0
03:07,35,1.0
03:12,36,1.0
03:17,37,1.0
03:22,38,1.0
03:27,39,1.0
03:32,40,1.0
03:37,41,1.0
03:42,42,1.0
03:47,43,1.0
03:52,44,1.0
03:57,45,1.0
04:02,46,1.0
04:07,47,1.0
04:12,48,1.0
04:17,49,1.0
04:22,50,1.0
04:27,51,1.0
04:32,52,1.0
04:37,53,1.0
04:42,54,1.0
04:47,55,1.0
04:52,56,1.0
04:57,57,1.0
05:02,58,1.0
05:07,59,1.0
