13:02,0,67769.63,32140.648
13:07,1,67769.63,32140.648
13:12,2,67769.63,32140.648
13:17,3,67769.63,32140.648
13:22,4,60000.0,22685.557
13:27,5,60000.0,22990.576
13:32,6,60000.0,22433.281
13:37,7,60000.0,23037.186
13:42,8,60000.0,22745.664
13:48,9,60012.73,22071.182
13:53,10,60000.0,22533.18
13:58,11,61846.09,22297.35
14:03,12,76029.09,22044.746
14:08,13,68617.34,22000.0
14:13,14,69642.445,22000.0
14:18,15,69105.63,22248.168
14:23,16,74123.08,22443.457
14:28,17,74022.086,22270.242
14:33,18,75964.6,22327.707
14:38,19,77118.625,22459.57
14:43,20,71383.06,22075.676
14:48,21,60000.0,32080.514
14:53,22,60000.0,38000.0
14:58,23,60000.0,37634.43
15:03,24,62822.883,37738.105
15:08,25,60371.156,37961.477
15:13,26,60000.0,34712.137
15:18,27,60000.0,34015.12
15:23,28,60000.0,27034.328
15:28,29,60000.0,28409.12
15:33,30,60000.0,28149.56
15:38,31,60000.0,28881.967
15:43,32,60723.44,35307.254
15:48,33,62161.723,38000.0
15:53,34,82686.516,38000.0
15:58,35,80546.89,38000.0
16:03,36,95716.05,38000.0
16:08,37,93652.836,38000.0
16:14,38,96995.125,38000.0
16:19,39,106066.85,38000.0
16:24,40,117951.836,38000.0
16:29,41,117296.66,38000.0
16:34,42,117127.875,38000.0
16:39,43,125844.46,38000.0
16:44,44,147000.0,35052.324
16:49,45,147000.0,38000.0
16:54,46,124184.88,22951.176
16:59,47,147000.0,28793.246
17:04,48,106054.24,23650.553
17:09,49,104046.58,23874.764
17:14,50,90727.43,22862.596
17:19,51,90277.61,22755.605
17:24,52,94826.34,22801.531
17:29,53,98003.18,22234.074
17:34,54,116845.12,22500.502
17:39,55,143689.95,23051.963
17:44,56,147000.0,38000.0
17:49,57,147000.0,38000.0
17:54,58,147000.0,37478.32
17:59,59,147000.0,38000.0
