"Time","FT101","FT101_set","FT201","FT201_set","FT301","FT301_set","FT302","FT401","FT401_set","FT501","FT601","FT602","FT701","FT711","FT721","FT731","FT801","FT901","FTA12","FTR01","FTR03","QgasCHP"
2026-06-18 18:10:20,9.10,9.12,0.551,0.558,0,0,0,3.00,0.0366,0.0363,0,0.00171,2.54,3.05,2.52,3.67,7.32,11.7,0.409,22.9,16.3,0
2026-06-18 18:10:40,9.06,9.04,0.538,0.546,0,0,0,3.00,0.0359,0.0364,0,0.00180,2.55,2.97,2.56,3.67,7.32,11.7,0.431,23.0,16.1,0
2026-06-18 18:11:00,9.15,9.14,0.549,0.549,0,0,0,2.99,0.0362,0.0367,0,0.00195,2.60,2.93,2.86,3.44,7.34,11.8,0.457,23.0,16.1,0
2026-06-18 18:11:20,9.08,9.07,0.525,0.547,0,0,0,2.99,0.0357,0.0360,0,0.00171,2.58,2.90,2.89,3.36,7.33,11.7,0.460,23.1,15.9,0
2026-06-18 18:11:40,8.99,9.00,0.552,0.552,0,0,0,2.97,0.0361,0.0364,0,0.00143,2.58,2.86,2.90,3.29,7.33,11.6,0.438,22.9,16.1,0
2026-06-18 18:12:00,8.91,8.94,0.541,0.534,0,0,0,2.96,0.0365,0.0361,0,0.00204,2.55,2.83,2.91,3.26,7.31,11.5,0.391,22.6,16.5,0
2026-06-18 18:12:20,8.87,8.87,0.554,0.545,0,0,0,2.96,0.0358,0.0366,0,0.00140,2.54,2.83,2.90,3.22,7.30,11.5,0.422,22.5,16.5,0
2026-06-18 18:12:40,8.81,8.81,0.560,0.549,0,0,0,2.93,0.0356,0.0358,0,0.00143,2.53,2.82,2.87,3.20,7.33,11.4,0.438,22.6,16.5,0
2026-06-18 18:13:00,8.70,8.70,0.543,0.563,0,0,0,2.92,0.0364,0.0358,0,0.00168,2.52,2.76,2.84,3.15,7.33,11.3,0.439,22.5,16.7,0
2026-06-18 18:13:20,8.67,8.67,0.553,0.561,0,0,0,2.90,0.0355,0.0358,0,0.00153,2.52,2.75,2.83,3.15,7.34,11.2,0.436,22.4,16.8,0
2026-06-18 18:13:40,8.66,8.65,0.553,0.557,0,0,0,2.90,0.0362,0.0365,0,0.00186,2.50,2.76,2.83,3.16,7.31,11.2,0.474,22.7,16.5,0
2026-06-18 18:14:00,8.62,8.62,0.549,0.537,0,0,0,2.91,0.0368,0.0357,0,0.00171,2.50,2.76,2.82,3.11,7.29,11.2,0.399,22.8,16.4,0
