17:31,0,1.0
17:36,1,1.0
17:41,2,1.0
17:46,3,1.0
17:51,4,1.0
17:56,5,1.0
18:01,6,1.0
18:06,7,1.0
18:11,8,1.0
18:16,9,1.0
18:21,10,1.0
18:26,11,1.0
18:31,12,1.0
18:36,13,1.0
18:41,14,1.0
18:46,15,1.0
18:51,16,1.0
18:56,17,1.0
19:01,18,1.0
19:06,19,1.0
19:11,20,1.0
19:16,21,1.0
19:21,22,1.0
19:26,23,1.0
19:31,24,1.0
19:36,25,1.0
19:41,26,1.0
19:46,27,1.0
19:51,28,1.0
19:56,29,1.0
20:01,30,1.0
20:06,31,1.0
20:11,32,1.0
20:16,33,1.0
20:21,34,1.0
20:26,35,1.0
20:31,36,1.0
20:36,37,0.0
20:41,38,0.0
20:46,39,0.0
20:51,40,0.0
20:56,41,0.0
21:01,42,0.0
21:06,43,0.0
21:11,44,0.0
21:16,45,0.0
21:21,46,0.0
21:26,47,0.0
21:31,48,0.0
21:36,49,0.0
21:41,50,0.0
21:46,51,0.0
21:51,52,0.0
21:56,53,0.0
22:01,54,0.0
22:06,55,0.0
22:11,56,0.0
22:16,57,0.0
22:21,58,0.0
22:26,59,0.0
