00:25,0,68.88682,61.350998,3.2226274
00:30,1,69.37718,61.333607,3.0902004
00:35,2,69.58882,61.31489,2.995148
00:40,3,69.54056,61.376755,3.0107145
00:45,4,69.570694,61.419685,3.0106509
00:50,5,69.68739,61.57754,3.0161083
00:55,6,69.71096,61.32656,2.9702458
01:00,7,69.325745,61.29816,2.982273
01:05,8,67.88932,61.28495,3.4344554
01:10,9,67.498665,61.24532,3.6110604
01:15,10,67.2843,61.24444,3.7066426
01:20,11,66.69174,61.418583,4.011022
01:25,12,66.76425,61.389305,4.0252113
01:30,13,66.9256,61.609467,4.004166
01:35,14,67.189354,61.715584,3.9390707
01:40,15,67.36293,61.64711,3.903402
01:45,16,67.43839,61.647774,3.8628697
01:50,17,67.57843,61.757195,3.824054
01:55,18,67.702835,61.55729,3.7139862
02:00,19,67.7153,61.74354,3.7551754
02:05,20,67.79823,61.84966,3.6918178
02:10,21,67.89906,61.667366,3.6432743
02:15,22,67.85624,61.782513,3.6674242
02:20,23,68.011,61.649094,3.5900788
02:25,24,68.186165,61.628838,3.5005367
02:30,25,67.997406,61.60132,3.7519858
02:35,26,67.76673,61.487278,3.8274875
02:40,27,67.94008,61.548264,3.855325
02:45,28,68.1166,61.608585,3.7872198
02:50,29,68.26231,61.472744,3.6873035
02:56,30,68.16169,61.513035,3.7177691
03:01,31,68.36858,61.518982,3.6776712
03:06,32,68.59767,61.447647,3.563089
03:11,33,68.79527,61.539017,3.5021155
03:16,34,68.99604,61.55861,3.4328873
03:21,35,69.381256,61.625095,3.3472872
03:26,36,69.60536,61.51722,3.2321434
03:31,37,69.4472,61.4417,3.4464405
03:36,38,67.60539,61.540775,4.061092
03:41,39,67.51181,61.60462,4.1454096
03:46,40,67.70057,61.60594,4.1405883
03:51,41,67.72504,61.67067,4.1380982
03:56,42,67.731155,61.61695,4.1378436
04:01,43,67.718925,61.564995,4.122542
04:06,44,67.68335,61.514576,4.114181
04:11,45,67.6693,61.515457,4.125954
04:16,46,67.62171,61.635883,4.133584
04:21,47,67.63055,61.56059,4.130733
04:26,48,67.64936,61.433777,4.1085544
04:31,49,67.66069,61.563454,3.6556618
04:36,50,68.22083,61.60264,3.467104
04:41,51,68.463295,61.75081,3.3883176
04:46,52,68.52086,61.542316,3.2772748
04:51,53,67.56098,61.684757,3.6127133
04:56,54,67.3652,61.955338,3.8439016
05:01,55,67.48824,61.474506,3.6563718
05:07,56,67.40146,61.54716,3.7432964
05:12,57,67.52518,61.689163,3.691256
05:17,58,67.63372,61.400753,3.5986197
05:22,59,67.64958,61.771065,3.689656
