"Time","Pel_CHP","Power100","Power200","Power300","Power400","Power500","Power600","Power701","Power711","Power721","Power731","Power900","PowerChiller"
2026-06-10 19:15:30,0,107,6.56,0,32.5,0.212,-0.0000178,-32.5,-32.6,-32.4,-32.5,140,-167
2026-06-10 19:16:00,0,106,6.55,0,32.0,0.211,-4.21e-8,-32.2,-33.0,-32.8,-32.3,138,-163
2026-06-10 19:16:30,0,105,6.57,0,31.6,0.213,-0.0000227,-32.9,-32.7,-33.0,-32.9,139,-157
2026-06-10 19:17:00,0,104,6.54,0,30.8,0.213,-0.0000109,-33.4,-33.0,-33.0,-33.1,139,-148
2026-06-10 19:17:30,0,104,6.55,0,30.0,0.213,-0.0000237,-32.4,-32.2,-32.8,-32.7,138,-147
2026-06-10 19:18:00,0,106,6.52,0,29.4,0.212,-0.0000315,-32.3,-32.2,-32.2,-32.0,137,-149
2026-06-10 19:18:30,0,108,6.52,0,29.2,0.213,-0.00000901,-32.1,-32.1,-32.0,-32.3,138,-150
2026-06-10 19:19:00,0,109,6.55,0,28.9,0.212,-1.49e-7,-32.2,-32.2,-32.0,-31.7,138,-151
2026-06-10 19:19:30,0,109,6.55,0,28.4,0.212,-4.51e-14,-31.7,-31.9,-32.1,-31.9,138,-153
2026-06-10 19:20:00,0,109,6.57,0,28.0,0.211,-1.33e-20,-32.0,-32.1,-31.8,-31.7,137,-155
2026-06-10 19:20:30,0,108,6.58,0,27.5,0.212,-0.0000191,-31.7,-32.1,-31.8,-32.1,136,-158
2026-06-10 19:21:00,0,108,6.56,0,27.0,0.211,-4.6e-8,-32.0,-32.1,-32.2,-32.1,136,-161
2026-06-10 19:21:30,0,107,6.55,0,26.2,0.212,-0.0000633,-32.1,-32.0,-31.9,-32.5,135,-158
2026-06-10 19:22:00,0,107,6.59,0,25.6,0.211,-0.0000289,-32.5,-32.2,-32.4,-32.3,134,-150
2026-06-10 19:22:30,0,107,6.60,0,24.9,0.211,-0.0000203,-32.5,-32.0,-32.5,-32.6,135,-140
2026-06-10 19:23:00,0,108,6.61,0,24.7,0.211,-0.00000350,-32.4,-32.0,-32.3,-31.9,135,-137
2026-06-10 19:23:30,0,109,6.62,0,24.4,0.209,-0.0000337,-32.2,-31.8,-32.0,-31.7,135,-139
2026-06-10 19:24:00,0,111,6.61,0,24.3,0.210,-0.0000532,-32.0,-31.6,-31.8,-31.7,135,-142
2026-06-10 19:24:30,0,112,6.61,0,24.2,0.210,-0.0000107,-32.0,-31.8,-31.8,-31.7,136,-144
2026-06-10 19:25:00,0,111,6.60,0,23.9,0.210,-0.0000128,-31.8,-31.6,-31.6,-31.6,135,-147
2026-06-10 19:25:30,0,110,6.62,0,23.7,0.209,-0.00000985,-31.9,-31.9,-31.7,-32.1,134,-150
2026-06-10 19:26:00,0,109,6.64,0,23.4,0.209,-2.31e-8,-31.8,-32.0,-31.8,-32.2,133,-152
2026-06-10 19:26:30,0,109,6.64,0,23.1,0.208,-7.24e-15,-31.7,-31.9,-31.8,-32.0,132,-154
2026-06-10 19:27:00,0,108,6.64,0,22.9,0.209,-0.0000156,-31.9,-32.0,-32.1,-31.9,132,-155
