"Time","Pel_CHP","Power100","Power200","Power300","Power400","Power500","Power600","Power701","Power711","Power721","Power731","Power900","PowerChiller"
2026-06-18 00:00:30,0,93.6,0.488,0,22.5,0.0188,0,-30.8,-33.0,-26.5,-34.9,118,-185
2026-06-18 00:01:00,0,95.0,0.487,0,22.5,0.0189,0,-31.2,-33.2,-26.7,-35.6,120,-174
2026-06-18 00:01:30,0,97.3,0.491,0,23.0,0.0189,0,-31.3,-33.6,-26.8,-36.0,123,-164
2026-06-18 00:02:00,0,99.1,0.493,0,23.5,0.0188,0,-31.4,-33.8,-27.1,-36.1,124,-159
2026-06-18 00:02:30,0,99.6,0.502,0,23.9,0.0187,0,-31.6,-34.2,-27.9,-36.3,125,-145
2026-06-18 00:03:00,0,98.6,0.495,0,24.2,0.0184,0,-31.5,-34.4,-28.1,-36.6,126,-130
2026-06-18 00:03:30,0,98.1,0.484,0,24.6,0.0183,0,-31.7,-34.4,-27.7,-36.4,126,-121
2026-06-18 00:04:00,0,97.9,0.477,0,24.7,0.0182,0,-31.3,-34.1,-27.5,-36.1,124,-115
2026-06-18 00:04:30,0,96.9,0.479,0,24.5,0.0181,0,-31.1,-33.7,-27.3,-35.9,123,-108
2026-06-18 00:05:00,0,95.9,0.485,0,24.3,0.0180,0,-31.0,-33.1,-27.0,-35.3,122,-98.9
2026-06-18 00:05:30,0,96.4,0.485,0,24.2,0.0183,0,-30.8,-33.1,-26.8,-34.9,121,-103
2026-06-18 00:06:00,0,96.9,0.483,0,24.0,0.0182,0,-30.6,-32.7,-26.5,-35.0,121,-116
2026-06-18 00:06:30,0,97.6,0.491,0,23.6,0.0181,0,-30.7,-32.2,-26.6,-34.7,121,-135
2026-06-18 00:07:00,0,98.8,0.484,0,23.5,0.0179,0,-31.4,-31.3,-29.5,-32.1,122,-155
2026-06-18 00:07:30,0,99.1,0.480,0,23.4,0.0178,0,-31.2,-31.2,-30.1,-31.5,122,-182
2026-06-18 00:08:00,0,100,0.490,0,23.5,0.0182,0,-31.6,-31.7,-30.9,-31.4,122,-195
2026-06-18 00:08:30,0,101,0.479,0,23.7,0.0182,0,-32.2,-32.2,-31.9,-31.5,124,-190
2026-06-18 00:09:00,0,102,0.485,0,24.0,0.0186,0,-32.5,-32.9,-32.5,-27.7,127,-181
2026-06-18 00:09:30,0,105,0.482,0,24.8,0.0177,0,-32.7,-32.7,-32.7,-27.7,131,-177
2026-06-18 00:10:00,0,107,0.473,0,25.6,0.0176,0,-33.0,-32.8,-33.0,-29.5,133,-172
2026-06-18 00:10:30,0,108,0.481,0,26.3,0.0172,0,-32.9,-33.4,-33.5,-31.2,136,-156
2026-06-18 00:11:00,0,108,0.482,0,27.4,0.0168,0,-33.0,-33.1,-33.6,-32.5,138,-142
2026-06-18 00:11:30,0,109,0.477,0,29.0,0.0172,0,-33.0,-33.2,-33.6,-32.8,138,-136
2026-06-18 00:12:00,0,108,0.483,0,30.3,0.0173,0,-32.6,-33.1,-33.7,-32.9,138,-131
2026-06-18 00:12:30,0,106,0.485,0,31.3,0.0174,0,-32.6,-33.0,-33.1,-33.0,137,-129
2026-06-18 00:13:00,0,105,0.487,0,32.4,0.0173,0,-32.4,-32.7,-32.7,-33.1,137,-123
2026-06-18 00:13:30,0,103,0.483,0,33.3,0.0174,0,-32.1,-32.6,-32.5,-32.4,134,-119
2026-06-18 00:14:00,0,103,0.489,0,34.1,0.0173,0,-32.3,-32.2,-32.1,-32.0,135,-121
2026-06-18 00:14:30,0,103,0.487,0,34.5,0.0172,0,-32.1,-32.1,-32.4,-32.3,136,-130
2026-06-18 00:15:00,0,103,0.492,0,34.6,0.0168,0,-32.4,-32.5,-32.2,-32.3,135,-138
2026-06-18 00:15:30,0,102,0.493,0,35.0,0.0167,0,-32.5,-32.7,-32.5,-32.1,137,-144
2026-06-18 00:16:00,0,103,0.494,0,35.2,0.0167,0,-32.3,-32.7,-32.9,-32.4,137,-150
2026-06-18 00:16:30,0,103,0.494,0,35.3,0.0166,0,-32.6,-32.7,-32.6,-32.9,137,-156
2026-06-18 00:17:00,0,102,0.499,0,35.4,0.0165,0,-32.5,-32.3,-32.8,-32.8,137,-160
2026-06-18 00:17:30,0,102,0.507,0,36.0,0.0163,0,-32.4,-32.7,-32.5,-32.7,137,-163
2026-06-18 00:18:00,0,103,0.502,0,36.4,0.0163,0,-32.6,-32.8,-32.8,-33.1,138,-161
2026-06-18 00:18:30,0,102,0.510,0,36.6,0.0162,0,-32.9,-32.9,-32.9,-33.1,139,-152
2026-06-18 00:19:00,0,103,0.513,0,37.1,0.0163,0,-32.5,-33.0,-32.9,-33.1,139,-143
2026-06-18 00:19:30,0,103,0.517,0,37.5,0.0162,0,-32.6,-33.2,-32.8,-32.7,139,-139
2026-06-18 00:20:00,0,103,0.516,0,37.6,0.0165,0,-32.5,-32.9,-32.5,-32.9,138,-142
2026-06-18 00:20:30,0,103,0.500,0,37.6,0.0159,0,-32.5,-32.8,-32.8,-32.5,139,-145
2026-06-18 00:21:00,0,102,0.509,0,37.8,0.0159,0,-32.4,-32.5,-32.6,-32.7,138,-153
2026-06-18 00:21:30,0,102,0.512,0,37.7,0.0156,0,-32.3,-32.7,-32.9,-32.7,138,-157
2026-06-18 00:22:00,0,101,0.519,0,37.4,0.0153,0,-32.3,-32.4,-32.6,-32.7,137,-164
2026-06-18 00:22:30,0,100,0.518,0,37.1,0.0156,0,-32.5,-33.1,-32.9,-32.8,137,-164
2026-06-18 00:23:00,0,99.0,0.531,0,36.5,0.0153,0,-32.5,-32.9,-32.9,-33.0,136,-152
2026-06-18 00:23:30,0,98.8,0.518,0,36.4,0.0157,0,-32.4,-32.5,-32.6,-32.7,135,-144
2026-06-18 00:24:00,0,101,0.514,0,36.2,0.0157,0,-32.1,-32.5,-32.4,-32.9,135,-137
2026-06-18 00:24:30,0,101,0.518,0,35.5,0.0156,0,-31.8,-31.8,-32.1,-31.8,135,-140
2026-06-18 00:25:00,0,103,0.520,0,35.6,0.0154,0,-32.0,-32.2,-32.2,-32.2,136,-146
2026-06-18 00:25:30,0,103,0.537,0,34.9,0.0153,0,-32.2,-32.3,-32.1,-31.8,137,-149
2026-06-18 00:26:00,0,103,0.520,0,34.6,0.0152,0,-32.3,-32.6,-32.2,-32.1,137,-158
2026-06-18 00:26:30,0,103,0.521,0,33.9,0.0149,0,-32.4,-32.5,-32.4,-32.5,136,-159
2026-06-18 00:27:00,0,103,0.526,0,33.4,0.0150,0,-32.3,-32.1,-32.2,-32.8,136,-162
2026-06-18 00:27:30,0,103,0.523,0,33.0,0.0150,0,-32.1,-32.2,-32.3,-32.4,135,-163
2026-06-18 00:28:00,0,103,0.527,0,32.6,0.0151,0,-32.1,-32.3,-32.4,-31.9,135,-163
2026-06-18 00:28:30,0,104,0.524,0,32.7,0.0149,0,-32.2,-32.2,-32.3,-32.2,135,-163
2026-06-18 00:29:00,0,105,0.521,0,32.6,0.0145,0,-32.2,-32.2,-32.5,-32.1,136,-165
2026-06-18 00:29:30,0,105,0.534,0,32.8,0.0143,0,-32.2,-32.5,-32.2,-32.2,136,-168
2026-06-18 00:30:00,0,105,0.535,0,32.6,0.0145,0,-32.4,-32.2,-32.5,-32.4,137,-166
2026-06-18 00:30:30,0,105,0.532,0,32.5,0.0147,0,-32.4,-32.7,-32.5,-33.1,137,-154
2026-06-18 00:31:00,0,105,0.540,0,32.2,0.0151,0,-32.4,-32.6,-32.6,-32.6,137,-145
2026-06-18 00:31:30,0,105,0.521,0,32.4,0.0144,0,-32.2,-32.4,-32.3,-32.7,137,-135
2026-06-18 00:32:00,0,105,0.520,0,32.1,0.0146,0,-32.1,-32.5,-32.2,-32.5,136,-132
2026-06-18 00:32:30,0,104,0.525,0,32.2,0.0144,0,-31.9,-32.1,-32.3,-32.0,135,-135
2026-06-18 00:33:00,0,103,0.522,0,31.9,0.0147,0,-32.0,-32.1,-32.3,-32.0,135,-140
2026-06-18 00:33:30,0,103,0.530,0,31.7,0.0148,0,-31.8,-31.9,-32.2,-32.0,134,-144
2026-06-18 00:34:00,0,102,0.528,0,31.3,0.0142,0,-31.9,-32.0,-32.0,-31.8,133,-148
2026-06-18 00:34:30,0,102,0.533,0,31.3,0.0143,0,-31.7,-32.4,-31.9,-32.2,133,-150
2026-06-18 00:35:00,0,101,0.538,0,31.1,0.0145,0,-31.9,-31.6,-31.8,-31.9,132,-151
2026-06-18 00:35:30,0,102,0.534,0,31.2,0.0145,0,-31.7,-31.7,-31.9,-32.0,133,-153
2026-06-18 00:36:00,0,102,0.533,0,31.2,0.0145,0,-31.9,-32.0,-31.8,-31.8,132,-154
2026-06-18 00:36:30,0,102,0.528,0,31.3,0.0143,0,-31.7,-31.7,-31.8,-32.2,133,-153
2026-06-18 00:37:00,0,102,0.533,0,31.2,0.0139,0,-31.9,-31.7,-31.8,-31.5,132,-156
2026-06-18 00:37:30,0,102,0.530,0,31.5,0.0141,0,-31.8,-31.8,-31.9,-31.9,132,-153
2026-06-18 00:38:00,0,102,0.532,0,31.3,0.0138,0,-32.0,-31.9,-32.1,-31.9,133,-146
2026-06-18 00:38:30,0,102,0.536,0,31.3,0.0139,0,-31.9,-32.1,-32.0,-32.2,134,-135
2026-06-18 00:39:00,0,102,0.523,0,31.3,0.0142,0,-32.0,-31.8,-32.0,-31.9,134,-127
2026-06-18 00:39:30,0,103,0.534,0,31.4,0.0139,0,-31.8,-31.9,-31.6,-32.1,133,-126
2026-06-18 00:40:00,0,103,0.536,0,31.3,0.0136,0,-31.8,-31.6,-31.6,-31.7,133,-139
2026-06-18 00:40:30,0,103,0.540,0,31.2,0.0138,0,-31.6,-31.5,-31.3,-31.3,133,-163
2026-06-18 00:41:00,0,104,0.538,0,30.9,0.0135,0,-31.6,-31.4,-31.6,-31.2,132,-184
2026-06-18 00:41:30,0,104,0.545,0,30.6,0.0133,0,-31.9,-31.9,-31.9,-31.7,132,-188
2026-06-18 00:42:00,0,102,0.542,0,30.0,0.0133,0,-32.1,-32.0,-32.0,-31.9,132,-183
2026-06-18 00:42:30,0,102,0.543,0,30.1,0.0133,0,-32.0,-31.9,-32.0,-32.4,132,-176
2026-06-18 00:43:00,0,103,0.543,0,30.2,0.0133,0,-32.0,-32.1,-31.9,-32.0,132,-171
2026-06-18 00:43:30,0,104,0.545,0,30.4,0.0136,0,-31.9,-31.9,-31.9,-32.0,132,-163
2026-06-18 00:44:00,0,105,0.550,0,30.6,0.0137,0,-31.9,-31.9,-31.8,-32.1,134,-159
2026-06-18 00:44:30,0,106,0.541,0,30.8,0.0135,0,-31.9,-31.9,-31.9,-31.9,134,-158
2026-06-18 00:45:00,0,106,0.545,0,31.0,0.0130,0,-32.0,-32.1,-32.0,-32.1,134,-157
2026-06-18 00:45:30,0,105,0.540,0,30.8,0.0135,0,-32.2,-32.2,-32.3,-32.2,135,-146
2026-06-18 00:46:00,0,105,0.537,0,30.7,0.0134,0,-32.2,-32.4,-32.3,-32.4,135,-136
2026-06-18 00:46:30,0,105,0.537,0,30.7,0.0138,0,-32.0,-32.4,-32.5,-32.2,135,-130
2026-06-18 00:47:00,0,104,0.551,0,30.8,0.0130,0,-32.1,-32.2,-32.2,-32.4,134,-124
2026-06-18 00:47:30,0,104,0.532,0,30.7,0.0132,0,-31.9,-32.1,-32.1,-32.2,134,-119
2026-06-18 00:48:00,0,104,0.535,0,30.6,0.0127,0,-32.0,-31.8,-31.8,-32.3,133,-114
2026-06-18 00:48:30,0,104,0.530,0,30.5,0.0125,0,-31.8,-31.8,-31.7,-31.8,134,-126
2026-06-18 00:49:00,0,104,0.532,0,30.4,0.0124,0,-31.6,-31.6,-31.4,-30.9,133,-147
2026-06-18 00:49:30,0,105,0.530,0,30.3,0.0129,0,-31.5,-31.6,-31.5,-31.3,133,-174
2026-06-18 00:50:00,0,104,0.530,0,29.9,0.0129,0,-31.7,-31.7,-31.8,-31.5,132,-184
2026-06-18 00:50:30,0,103,0.534,0,29.4,0.0129,0,-31.9,-32.0,-31.9,-31.9,132,-179
2026-06-18 00:51:00,0,102,0.536,0,29.3,0.0127,0,-32.1,-32.1,-32.0,-32.1,133,-176
2026-06-18 00:51:30,0,102,0.539,0,29.6,0.0122,0,-32.0,-32.0,-32.2,-32.2,132,-169
2026-06-18 00:52:00,0,103,0.536,0,29.9,0.0121,0,-32.1,-32.0,-32.0,-32.1,133,-164
2026-06-18 00:52:30,0,103,0.539,0,30.1,0.0118,0,-31.7,-31.8,-31.9,-32.0,132,-161
2026-06-18 00:53:00,0,104,0.541,0,30.3,0.0123,0,-32.1,-31.9,-32.0,-32.1,132,-149
2026-06-18 00:53:30,0,104,0.530,0,30.6,0.0122,0,-31.8,-32.2,-32.1,-32.2,134,-136
2026-06-18 00:54:00,0,104,0.532,0,30.7,0.0122,0,-32.2,-31.9,-31.9,-32.1,134,-130
2026-06-18 00:54:30,0,104,0.532,0,30.9,0.0121,0,-32.1,-32.2,-32.1,-32.0,134,-127
2026-06-18 00:55:00,0,104,0.529,0,30.7,0.0123,0,-32.2,-32.3,-32.1,-32.0,134,-118
2026-06-18 00:55:30,0,103,0.534,0,30.4,0.0121,0,-31.9,-32.0,-31.8,-31.9,133,-117
2026-06-18 00:56:00,0,103,0.541,0,30.4,0.0118,0,-31.7,-32.0,-31.9,-31.8,132,-122
2026-06-18 00:56:30,0,103,0.549,0,30.0,0.0120,0,-33.6,-30.2,-32.7,-29.8,131,-126
2026-06-18 00:57:00,0,102,0.540,0,29.7,0.0124,0,-34.5,-29.6,-33.0,-28.7,130,-133
2026-06-18 00:57:30,0,101,0.543,0,29.2,0.0123,0,-34.7,-29.1,-33.0,-28.1,129,-135
